prefix,marker
ANJ,anja
ARI,ari
ASH,asha_
AUT,authentic
AVA,ava_
AZU,azulita
A_C,a_celemine
BER,berry
BIG,bigfoot_
BLA,Blankita
BOB,bobinas_
BRA,brandons
BUB,bubbles
CHE,cheung
CIN,cinamion
CLA,clarmendy
COC,cocoab
CRA,crash_
CUD,cuddlybea
CYN,cynthia
DON,donkey
DRA,dragon
DUD,dudu
FLO,floatzel
FOF,fofita
FRA,frankie_
FUJ,fujery
GRE,great_
GUI,guido_
JUB,jubjub_
KIL,killer
KOK,koki
KRA,krazyk
KUK,kukulu
KYL,kyle_
LEX,lex
LIG,lightning_
LLA,llama_
LOC,locobo
LUC,lucas_
LYN,lyn_
L__,l__a
MAT,mate
MEE,meercaj
MIC,michonne_
MOE,moehogc
MRL,mrleafy
MUH,muhaam
MYF,myFallen
NUT,nutri
PIN,pinkle
PLU,plumis
POK,pokepet
PRE,prettypretty
PTE,pteritaz
PUF,puffery
RIT,rita
ROB,robie
RUB,rubyredo
RYI,ryiasoh
SEL,selis
SHA,shampoozle
SIL,sillypot
SKE,skeithfabio
SLI,slingtok
SME,smell_
SNI,snickle
SOF,sofi_
SPA,spankaroonie
SQU,squigglesDS
STA,stanley
SUG,sugaa
SWE,sweetacarar
SYN,syndi_
TIG,tigrer
TOC,toctoc
TRA,trapt
TUF,tuff_
TWI,twiggle
TYL,tylerch
_ST,_stell
_TO,_tonu_
__G,__gennyfer
